State,County,POP_ESTIMATE
AK,Aleutians East,"3,337"
AK,Aleutians West,"5,634"
AK,Anchorage,"288,000"
AK,Bethel,"18,386"
AK,Bristol Bay,836
AK,Denali,"2,097"
AK,Dillingham,"4,916"
AK,Fairbanks North Star,"96,849"
AK,Haines,"2,530"
AK,Hoonah-Angoon Census Area,"2,148"
AK,Juneau,"31,974"
AK,Kenai Peninsula,"58,708"
AK,Ketchikan Gateway,"13,901"
AK,Kodiak Island,"12,998"
AK,Kusilvak Census Area,"8,314"
AK,Lake and Peninsula,"1,592"
AK,Matanuska-Susitna,"108,317"
AK,Nome,"10,004"
AK,North Slope,"9,832"
AK,Northwest Arctic,"7,621"
AK,Petersburg Borough,"3,266"
AK,Prince of Wales-Hyder,"6,203"
AK,Sitka,"8,493"
AK,Skagway,"1,183"
AK,Southeast Fairbanks,"6,893"
AK,Valdez-Cordova,"9,202"
AK,Wrangell,"2,502"
AK,Yakutat,579
AK,Yukon-Koyukuk,"5,230"
AL,Autauga ,"55,869"
AL,Baldwin ,"223,234"
AL,Barbour ,"24,686"
AL,Bibb ,"22,394"
AL,Blount ,"57,826"
AL,Bullock ,"10,101"
AL,Butler ,"19,448"
AL,Calhoun ,"113,605"
AL,Chambers ,"33,254"
AL,Cherokee ,"26,196"
AL,Chilton ,"44,428"
AL,Choctaw ,"12,589"
AL,Clarke ,"23,622"
AL,Clay ,"13,235"
AL,Cleburne ,"14,910"
AL,Coffee ,"52,342"
AL,Colbert ,"55,241"
AL,Conecuh ,"12,067"
AL,Coosa ,"10,663"
AL,Covington ,"37,049"
AL,Crenshaw ,"13,772"
AL,Cullman ,"83,768"
AL,Dale ,"49,172"
AL,Dallas ,"37,196"
AL,DeKalb ,"71,513"
AL,Elmore ,"81,209"
AL,Escambia ,"36,633"
AL,Etowah ,"102,268"
AL,Fayette ,"16,302"
AL,Franklin ,"31,362"
AL,Geneva ,"26,271"
AL,Greene ,"8,111"
AL,Hale ,"14,651"
AL,Henry ,"17,205"
AL,Houston ,"105,882"
AL,Jackson ,"51,626"
AL,Jefferson ,"658,573"
AL,Lamar ,"13,805"
AL,Lauderdale ,"92,729"
AL,Lawrence ,"32,924"
AL,Lee ,"164,542"
AL,Limestone ,"98,915"
AL,Lowndes ,"9,726"
AL,Macon ,"18,068"
AL,Madison ,"372,909"
AL,Marengo ,"18,863"
AL,Marion ,"29,709"
AL,Marshall ,"96,774"
AL,Mobile ,"413,210"
AL,Monroe ,"20,733"
AL,Montgomery ,"226,486"
AL,Morgan ,"119,679"
AL,Perry ,"8,923"
AL,Pickens ,"19,930"
AL,Pike ,"33,114"
AL,Randolph ,"22,722"
AL,Russell ,"57,961"
AL,St. Clair ,"89,512"
AL,Shelby ,"217,702"
AL,Sumter ,"12,427"
AL,Talladega ,"79,978"
AL,Tallapoosa ,"40,367"
AL,Tuscaloosa ,"209,355"
AL,Walker ,"63,521"
AL,Washington ,"16,326"
AL,Wilcox ,"10,373"
AL,Winston ,"23,629"
AR,Arkansas ,"17,486"
AR,Ashley ,"19,657"
AR,Baxter ,"41,932"
AR,Benton ,"279,141"
AR,Boone ,"37,432"
AR,Bradley ,"10,763"
AR,Calhoun ,"5,189"
AR,Carroll ,"28,380"
AR,Chicot ,"10,118"
AR,Clark ,"22,320"
AR,Clay ,"14,551"
AR,Cleburne ,"24,919"
AR,Cleveland ,"7,956"
AR,Columbia ,"23,457"
AR,Conway ,"20,846"
AR,Craighead ,"110,332"
AR,Crawford ,"63,257"
AR,Crittenden ,"47,955"
AR,Cross ,"16,419"
AR,Dallas ,"7,009"
AR,Desha ,"11,361"
AR,Drew ,"18,219"
AR,Faulkner ,"126,007"
AR,Franklin ,"17,715"
AR,Fulton ,"12,477"
AR,Garland ,"99,386"
AR,Grant ,"18,265"
AR,Greene ,"45,325"
AR,Hempstead ,"21,532"
AR,Hot Spring ,"33,771"
AR,Howard ,"13,202"
AR,Independence ,"37,825"
AR,Izard ,"13,629"
AR,Jackson ,"16,719"
AR,Jefferson ,"66,824"
AR,Johnson ,"26,578"
AR,Lafayette ,"6,624"
AR,Lawrence ,"16,406"
AR,Lee ,"8,857"
AR,Lincoln ,"13,024"
AR,Little River ,"12,259"
AR,Logan ,"21,466"
AR,Lonoke ,"73,309"
AR,Madison ,"16,576"
AR,Marion ,"16,694"
AR,Miller ,"43,257"
AR,Mississippi ,"40,651"
AR,Monroe ,"6,701"
AR,Montgomery ,"8,986"
AR,Nevada ,"8,252"
AR,Newton ,"7,753"
AR,Ouachita ,"23,382"
AR,Perry ,"10,455"
AR,Phillips ,"17,782"
AR,Pike ,"10,718"
AR,Poinsett ,"23,528"
AR,Polk ,"19,964"
AR,Pope ,"64,072"
AR,Prairie ,"8,062"
AR,Pulaski ,"391,911"
AR,Randolph ,"17,958"
AR,St. Francis ,"24,994"
AR,Saline ,"122,437"
AR,Scott ,"10,281"
AR,Searcy ,"7,881"
AR,Sebastian ,"127,827"
AR,Sevier ,"17,007"
AR,Sharp ,"17,442"
AR,Stone ,"12,506"
AR,Union ,"38,682"
AR,Van Buren ,"16,545"
AR,Washington ,"239,187"
AR,White ,"78,753"
AR,Woodruff ,"6,320"
AR,Yell ,"21,341"
AZ,Apache ,"71,887"
AZ,Cochise ,"125,922"
AZ,Coconino ,"143,476"
AZ,Gila ,"54,018"
AZ,Graham ,"38,837"
AZ,Greenlee ,"9,498"
AZ,La Paz ,"21,108"
AZ,Maricopa ,"4,485,414"
AZ,Mohave ,"212,181"
AZ,Navajo ,"110,924"
AZ,Pima ,"1,047,279"
AZ,Pinal ,"462,789"
AZ,Santa Cruz ,"46,498"
AZ,Yavapai ,"235,099"
AZ,Yuma ,"213,787"
CA,Alameda ,"1,671,329"
CA,Alpine ,"1,129"
CA,Amador ,"39,752"
CA,Butte ,"219,186"
CA,Calaveras ,"45,905"
CA,Colusa ,"21,547"
CA,Contra Costa ,"1,153,526"
CA,Del Norte ,"27,812"
CA,El Dorado ,"192,843"
CA,Fresno ,"999,101"
CA,Glenn ,"28,393"
CA,Humboldt ,"135,558"
CA,Imperial ,"181,215"
CA,Inyo ,"18,039"
CA,Kern ,"900,202"
CA,Kings ,"152,940"
CA,Lake ,"64,386"
CA,Lassen ,"30,573"
CA,Los Angeles ,"10,039,107"
CA,Madera ,"157,327"
CA,Marin ,"258,826"
CA,Mariposa ,"17,203"
CA,Mendocino ,"86,749"
CA,Merced ,"277,680"
CA,Modoc ,"8,841"
CA,Mono ,"14,444"
CA,Monterey ,"434,061"
CA,Napa ,"137,744"
CA,Nevada ,"99,755"
CA,Orange ,"3,175,692"
CA,Placer ,"398,329"
CA,Plumas ,"18,807"
CA,Riverside ,"2,470,546"
CA,Sacramento ,"1,552,058"
CA,San Benito ,"62,808"
CA,San Bernardino ,"2,180,085"
CA,San Diego ,"3,338,330"
CA,San Francisco ,"881,549"
CA,San Joaquin ,"762,148"
CA,San Luis Obispo ,"283,111"
CA,San Mateo ,"766,573"
CA,Santa Barbara ,"446,499"
CA,Santa Clara ,"1,927,852"
CA,Santa Cruz ,"273,213"
CA,Shasta ,"180,080"
CA,Sierra ,"3,005"
CA,Siskiyou ,"43,539"
CA,Solano ,"447,643"
CA,Sonoma ,"494,336"
CA,Stanislaus ,"550,660"
CA,Sutter ,"96,971"
CA,Tehama ,"65,084"
CA,Trinity ,"12,285"
CA,Tulare ,"466,195"
CA,Tuolumne ,"54,478"
CA,Ventura ,"846,006"
CA,Yolo ,"220,500"
CA,Yuba ,"78,668"
CO,Adams ,"517,421"
CO,Alamosa ,"16,233"
CO,Arapahoe ,"656,590"
CO,Archuleta ,"14,029"
CO,Baca ,"3,581"
CO,Bent ,"5,577"
CO,Boulder ,"326,196"
CO,Broomfield ,"70,465"
CO,Chaffee ,"20,356"
CO,Cheyenne ,"1,831"
CO,Clear Creek ,"9,700"
CO,Conejos ,"8,205"
CO,Costilla ,"3,887"
CO,Crowley ,"6,061"
CO,Custer ,"5,068"
CO,Delta ,"31,162"
CO,Denver ,"727,211"
CO,Dolores ,"2,055"
CO,Douglas ,"351,154"
CO,Eagle ,"55,127"
CO,Elbert ,"26,729"
CO,El Paso ,"720,403"
CO,Fremont ,"47,839"
CO,Garfield ,"60,061"
CO,Gilpin ,"6,243"
CO,Grand ,"15,734"
CO,Gunnison ,"17,462"
CO,Hinsdale ,820
CO,Huerfano ,"6,897"
CO,Jackson ,"1,392"
CO,Jefferson ,"582,881"
CO,Kiowa ,"1,406"
CO,Kit Carson ,"7,097"
CO,Lake ,"8,127"
CO,La Plata ,"56,221"
CO,Larimer ,"356,899"
CO,Las Animas ,"14,506"
CO,Lincoln ,"5,701"
CO,Logan ,"22,409"
CO,Mesa ,"154,210"
CO,Mineral ,769
CO,Moffat ,"13,283"
CO,Montezuma ,"26,183"
CO,Montrose ,"42,758"
CO,Morgan ,"29,068"
CO,Otero ,"18,278"
CO,Ouray ,"4,952"
CO,Park ,"18,845"
CO,Phillips ,"4,265"
CO,Pitkin ,"17,767"
CO,Prowers ,"12,172"
CO,Pueblo ,"168,424"
CO,Rio Blanco ,"6,324"
CO,Rio Grande ,"11,267"
CO,Routt ,"25,638"
CO,Saguache ,"6,824"
CO,San Juan ,728
CO,San Miguel ,"8,179"
CO,Sedgwick ,"2,248"
CO,Summit ,"31,011"
CO,Teller ,"25,388"
CO,Washington ,"4,908"
CO,Weld ,"324,492"
CO,Yuma ,"10,019"
CT,Fairfield ,"943,332"
CT,Hartford ,"891,720"
CT,Litchfield ,"180,333"
CT,Middlesex ,"162,436"
CT,New Haven ,"854,757"
CT,New London ,"265,206"
CT,Tolland ,"150,721"
CT,Windham ,"116,782"
DC,District of Columbia,"705,749"
DE,Kent ,"180,786"
DE,New Castle ,"558,753"
DE,Sussex ,"234,225"
FL,Alachua ,"269,043"
FL,Baker ,"29,210"
FL,Bay ,"174,705"
FL,Bradford ,"28,201"
FL,Brevard ,"601,942"
FL,Broward ,"1,952,778"
FL,Calhoun ,"14,105"
FL,Charlotte ,"188,910"
FL,Citrus ,"149,657"
FL,Clay ,"219,252"
FL,Collier ,"384,902"
FL,Columbia ,"71,686"
FL,DeSoto ,"38,001"
FL,Dixie ,"16,826"
FL,Duval ,"957,755"
FL,Escambia ,"318,316"
FL,Flagler ,"115,081"
FL,Franklin ,"12,125"
FL,Gadsden ,"45,660"
FL,Gilchrist ,"18,582"
FL,Glades ,"13,811"
FL,Gulf ,"13,639"
FL,Hamilton ,"14,428"
FL,Hardee ,"26,937"
FL,Hendry ,"42,022"
FL,Hernando ,"193,920"
FL,Highlands ,"106,221"
FL,Hillsborough ,"1,471,968"
FL,Holmes ,"19,617"
FL,Indian River ,"159,923"
FL,Jackson ,"46,414"
FL,Jefferson ,"14,246"
FL,Lafayette ,"8,422"
FL,Lake ,"367,118"
FL,Lee ,"770,577"
FL,Leon ,"293,582"
FL,Levy ,"41,503"
FL,Liberty ,"8,354"
FL,Madison ,"18,493"
FL,Manatee ,"403,253"
